Date,Region,Type,Value,Lat,Lon
2024-05-15,US,sales_revenue,13259.18,,
2024-05-15,US,sales_units,190.0,,
2024-05-16,CAN,sales_revenue,449.82,,
2024-05-16,CAN,sales_units,6.0,,
2024-05-16,US,sales_revenue,12430.62,,
2024-05-16,US,sales_units,182.0,,
2024-05-17,CAN,sales_revenue,146.6,,
2024-05-17,CAN,sales_units,2.0,,
2024-05-17,US,sales_revenue,9567.46,,
2024-05-17,US,sales_units,126.0,,
2024-05-18,CAN,sales_revenue,420.16,,
2024-05-18,CAN,sales_units,6.0,,
2024-05-18,US,sales_revenue,13138.66,,
2024-05-18,US,sales_units,176.0,,
2024-05-19,CAN,sales_revenue,362.8,,
2024-05-19,CAN,sales_units,4.0,,
2024-05-19,US,sales_revenue,9926.8,,
2024-05-19,US,sales_units,134.0,,
2024-05-20,CAN,sales_revenue,452.82,,
2024-05-20,CAN,sales_units,6.0,,
2024-05-20,US,sales_revenue,9429.0,,
2024-05-20,US,sales_units,130.0,,
2024-05-21,CAN,sales_revenue,126.22,,
2024-05-21,CAN,sales_units,2.0,,
2024-05-21,US,sales_revenue,11982.18,,
2024-05-21,US,sales_units,184.0,,
2024-05-22,CAN,sales_revenue,135.96,,
2024-05-22,CAN,sales_units,2.0,,
2024-05-22,US,sales_revenue,10078.24,,
2024-05-22,US,sales_units,154.0,,
2024-05-23,CAN,sales_revenue,465.64,,
2024-05-23,CAN,sales_units,6.0,,
2024-05-23,US,sales_revenue,7698.9,,
2024-05-23,US,sales_units,106.0,,
2024-05-24,CAN,sales_revenue,145.96,,
2024-05-24,CAN,sales_units,2.0,,
2024-05-24,US,sales_revenue,9699.6,,
2024-05-24,US,sales_units,146.0,,
2024-05-25,CAN,sales_revenue,185.5,,
2024-05-25,CAN,sales_units,2.0,,
2024-05-25,US,sales_revenue,11577.46,,
2024-05-25,US,sales_units,162.0,,
2024-05-26,CAN,sales_revenue,448.08,,
2024-05-26,CAN,sales_units,6.0,,
2024-05-26,US,sales_revenue,13729.56,,
2024-05-26,US,sales_units,194.0,,
2024-05-27,CAN,sales_revenue,391.92,,
2024-05-27,CAN,sales_units,4.0,,
2024-05-27,US,sales_revenue,15042.12,,
2024-05-27,US,sales_units,220.0,,
2024-05-28,US,sales_revenue,8791.06,,
2024-05-28,US,sales_units,124.0,,
2024-05-29,CAN,sales_revenue,440.74,,
2024-05-29,CAN,sales_units,6.0,,
2024-05-29,US,sales_revenue,8481.02,,
2024-05-29,US,sales_units,114.0,,
2024-05-30,CAN,sales_revenue,449.26,,
2024-05-30,CAN,sales_units,6.0,,
2024-05-30,US,sales_revenue,8616.06,,
2024-05-30,US,sales_units,116.0,,
2024-05-31,CAN,sales_revenue,166.0,,
2024-05-31,CAN,sales_units,2.0,,
2024-05-31,US,sales_revenue,6762.02,,
2024-05-31,US,sales_units,94.0,,
2024-06-01,CAN,sales_revenue,136.36,,
2024-06-01,CAN,sales_units,2.0,,
2024-06-01,US,sales_revenue,13203.88,,
2024-06-01,US,sales_units,182.0,,
2024-06-02,CAN,sales_revenue,178.28,,
2024-06-02,CAN,sales_units,2.0,,
2024-06-02,US,sales_revenue,9976.72,,
2024-06-02,US,sales_units,138.0,,
2024-06-03,US,sales_revenue,11814.84,,
2024-06-03,US,sales_units,156.0,,
2024-06-04,CAN,sales_revenue,564.22,,
2024-06-04,CAN,sales_units,8.0,,
2024-06-04,US,sales_revenue,7208.56,,
2024-06-04,US,sales_units,96.0,,
2024-06-05,CAN,sales_revenue,157.32,,
2024-06-05,CAN,sales_units,2.0,,
2024-06-05,US,sales_revenue,6992.78,,
2024-06-05,US,sales_units,96.0,,
2024-06-06,CAN,sales_revenue,185.54,,
2024-06-06,CAN,sales_units,2.0,,
2024-06-06,US,sales_revenue,14294.82,,
2024-06-06,US,sales_units,202.0,,
2024-06-07,US,sales_revenue,7306.4,,
2024-06-07,US,sales_units,96.0,,
2024-06-08,CAN,sales_revenue,144.96,,
2024-06-08,CAN,sales_units,2.0,,
2024-06-08,US,sales_revenue,12059.44,,
2024-06-08,US,sales_units,158.0,,
2024-06-09,CAN,sales_revenue,145.16,,
2024-06-09,CAN,sales_units,2.0,,
2024-06-09,US,sales_revenue,10082.9,,
2024-06-09,US,sales_units,130.0,,
2024-06-10,CAN,sales_revenue,503.34,,
2024-06-10,CAN,sales_units,8.0,,
2024-06-10,US,sales_revenue,10413.58,,
2024-06-10,US,sales_units,146.0,,
2024-06-11,CAN,sales_revenue,319.72,,
2024-06-11,CAN,sales_units,4.0,,
2024-06-11,US,sales_revenue,13943.48,,
2024-06-11,US,sales_units,188.0,,
2024-06-12,CAN,sales_revenue,184.8,,
2024-06-12,CAN,sales_units,2.0,,
2024-06-12,US,sales_revenue,17041.42,,
2024-06-12,US,sales_units,218.0,,
2024-06-13,US,sales_revenue,21413.6,,
2024-06-13,US,sales_units,282.0,,
2024-06-14,CAN,sales_revenue,417.1,,
2024-06-14,CAN,sales_units,6.0,,
2024-06-14,US,sales_revenue,10141.68,,
2024-06-14,US,sales_units,136.0,,
2024-06-15,CAN,sales_revenue,321.02,,
2024-06-15,CAN,sales_units,4.0,,
2024-06-15,US,sales_revenue,13138.48,,
2024-06-15,US,sales_units,178.0,,
2024-06-16,CAN,sales_revenue,585.52,,
2024-06-16,CAN,sales_units,8.0,,
2024-06-16,US,sales_revenue,14165.52,,
2024-06-16,US,sales_units,190.0,,
2024-06-17,US,sales_revenue,13275.06,,
2024-06-17,US,sales_units,172.0,,
2024-06-18,CAN,sales_revenue,175.06,,
2024-06-18,CAN,sales_units,2.0,,
2024-06-18,US,sales_revenue,6887.74,,
2024-06-18,US,sales_units,98.0,,
2024-06-19,CAN,sales_revenue,441.5,,
2024-06-19,CAN,sales_units,6.0,,
2024-06-19,US,sales_revenue,12849.06,,
2024-06-19,US,sales_units,174.0,,
2024-06-20,CAN,sales_revenue,284.82,,
2024-06-20,CAN,sales_units,4.0,,
2024-06-20,US,sales_revenue,9127.32,,
2024-06-20,US,sales_units,120.0,,
2024-06-21,CAN,sales_revenue,414.06,,
2024-06-21,CAN,sales_units,6.0,,
2024-06-21,US,sales_revenue,9334.42,,
2024-06-21,US,sales_units,134.0,,
2024-06-22,CAN,sales_revenue,469.0,,
2024-06-22,CAN,sales_units,6.0,,
